FirstName,LastName
Nuno,Tavares
Albert,Sambi
Mika,Biereth
Ben,White
Martin,Odegaard
Aaron,Ramsdale
Takehiro,Tomiyasu
David,Luiz
Levi,Laing
Joseph,Olowu
Luke,Plange
Jason,Sraha
Trae,Coyle
Zech,Medley
Mark,McGuinness
Dinos,Mavropanos
Daniel,Ballard
Daniel,Oyegoke
Ben,Sheaf
Matt,Smith
Matteo,Guendouzi
William,Saliba
Nikolaj,Moller
Deyan,Iliev
Tyreece,John-Jules
Harry,Clarke
Tolaji,Bola
Jordi,Osei-Tutu
Joe,Willock
Lucas,Torreira
Miguel,Azeez
Willian,(Corinthians)
Reiss,Nelson
Alex,Runarsson
Hector,Bellerin
Jonathan,Dinzeyi
Emiliano,Buendia
Ashley,Young
Josh,Feeney
Finn,Azaz
Tim,Iroegbunam
Leon,Bailey
Danny,Ings
Axel,Tuanzebe
Caleb,Chukwuemeka
Fin,Thorndike
Declan,Frith
Ahmed,El
Neil,Taylor
Tom,Heaton
Lewis,Brunt
Brad,Burton
Jack,Clarke
Charlie,Farr
Ben,Guy
Callum,Rowe
Harrison,Sohna
Michael,Tait
Jake,Walker
Bjorn,Engels
Indiana,Vassilev
Lovre,Kalinic
Seb,Revan
Kaine,Kesler
Jack,Grealish
Louie,Barry
Brad,Young
Tyreik,Wright
Arjan,Raikhy
Wesley,(Club
Conor,Hourihane
Dominic,Revan
Frederic,Guilbert
Mungo,Bridge
Nathan,Young-Coombes
Dom,Jefferies
Daniel,Oyegoke
Jude,Russell
Frank,Onyeka
Kristoffer,Ajer
Matthew,Cox
Myles,Peart-Harris
Yoan,Wissa
Nico,Jones
Alvaro,Fernandez
Val,Adedokun
Mathias,Jorgensen
Jared,Thompson
Kane,O’Connor
Aubrel,Koutsimouka
Julien,Carre
Henrik,Dalsgaard
Luke,Daniels
Emiliano,Marcondes
Ellery,Balcombe
Aaron,Pressley
Patrik,Gunnarsson
Alex,Gilbert
Jaakko,Oksanen
Jeremy,Sarmiento
Gary,Dicker
Enock,Mwepu
Kjell,Scherpen
Kaoru,Mitoma
Marc,Cucurella
Abdallah,Sima
Jose,Izquierdo
Teddy,Jenks
Davy,Propper
Alex,Cochrane
Jan,Mlakar
Bernardo,
Ryan,Longman
